
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
1800         5            182          8.991        961          54.85        
1800         6            232          10.42        990          54.56        
1800         7            213          10.25        950          52.93        
1800         8            226          10.85        1010         57.63        
1800         9            189          8.988        1025         57.81        
1800         10           218          9.867        966          57.4         
1800         11           207          9.86         910          52.17        
1800         12           221          10.71        944          52.85        
1800         13           212          10.6         942          53.71        
1800         14           251          11.84        951          53.22        
1800         15           214          10.26        939          52.61        
1800         16           205          9.455        941          54.48        
1800         17           213          10.53        970          55.64        
1800         18           201          10.06        970          55.33        
1800         19           199          9.886        964          54.78        
1800         20           182          8.692        958          53.4         
1800         21           439          21.07        2121         118.1        
1800         22           412          19.03        2021         113.7        
1800         23           427          20.41        2073         116.9        
1800         24           401          18.73        2078         118.9        
1800         25           129          5.211        557          29.96        
1900         0            128          5.427        589          30           
1900         1            410          19.75        2070         118.1        
1900         2            418          20.38        1990         112.3        
1900         3            405          19.38        2155         120.7        
1900         4            393          18.06        2057         115.8        
1900         5            193          9.233        1021         56.15        
1900         6            215          10.34        1014         58.03        
1900         7            199          10.02        985          55.81        
1900         8            239          11.58        955          52.83        
1900         9            201          9.886        964          53.85        
1900         10           228          10.64        989          55.47        
1900         11           214          10.55        956          52.32        
1900         12           207          9.772        978          55.85        
1900         13           194          9.297        989          57.65        
1900         14           187          8.875        985          55.79        
1900         15           205          9.442        1047         58.14        
1900         16           204          9.541        994          57.8         
1900         17           215          9.622        993          56.18        
1900         18           206          9.452        1005         55.65        
1900         19           187          8.707        951          53.21        
1900         20           200          9.614        967          53.57        
1900         21           402          18.21        2070         117.5        
1900         22           433          21.21        2040         115.8        
1900         23           410          20.27        2022         113.4        
1900         24           384          18.09        2084         116.2        
1900         25           102          4.462        567          29.78        
2000         0            100          4.591        611          31.84        
2000         1            384          17.81        2081         115          
2000         2            365          17.43        2081         118.1        
2000         3            420          19.67        2074         118.1        
2000         4            430          20.28        2021         112.5        
2000         5            204          9.725        985          53.86        
2000         6            211          9.993        1009         56.16        
2000         7            215          10.1         982          55.37        
2000         8            212          10.12        1000         55.94        
2000         9            209          9.672        1003         56.98        
2000         10           201          9.768        942          52.8         
2000         11           200          9.546        950          52.73        
2000         12           235          11.63        986          57.11        
2000         13           204          9.126        967          55.46        
2000         14           203          9.716        956          53.02        
2000         15           216          10.06        975          54.26        
2000         16           211          10.44        997          55.51        
2000         17           183          8.512        970          53.22        
2000         18           194          8.842        951          53.03        
2000         19           205          9.47         1036         57.84        
2000         20           186          8.687        936          53.26        
2000         21           415          19.7         2047         117.7        
2000         22           421          20.08        2076         116.1        
2000         23           405          18.87        2133         120          
2000         24           381          17.96        2090         116.6        
2000         25           121          5.899        548          28.8         
2100         0            120          4.782        566          29.67        
2100         1            400          19.43        2064         115.2        
2100         2            408          20.18        2116         116.8        
2100         3            406          18.6         2097         116.9        
2100         4            415          19.47        2059         114.7        
2100         5            194          9.319        1033         56.22        
2100         6            186          8.59         980          54.96        
2100         7            190          9.268        1008         56.86        
2100         8            173          7.787        947          54.98        
2100         9            229          11.23        932          52.39        
2100         10           191          8.52         976          54.44        
2100         11           201          9.906        955          52.03        
2100         12           210          10.42        1004         56.12        
2100         13           204          9.702        982          54.96        
2100         14           221          10.32        966          54.01        
2100         15           203          9.769        1014         56.81        
2100         16           205          9.888        952          53.52        
2100         17           210          9.756        986          54.57        
2100         18           198          9.344        1026         57.02        
2100         19           204          10.02        1014         55.7         
2100         20           212          10.2         958          53.73        
2100         21           414          20.84        2046         116.9        
2100         22           388          18.34        2073         117.6        
2100         23           399          18.2         2130         117.7        
